id,en,ru,uk,pl,da
STURDY_WALL_DESC,+4 Wall,+4 к Стене,+4 до Стіни,,+4 Mur
INNOVATIONS,Innovations,Новшества,Нововведення,,Innovationer
INNOVATIONS_DESC,"+1 To all player's quarrys, you gain 4 gems","+1 к карьерам всех игроков, вы получаете 4 самоцвета","+1 до кар'єрів всіх гравців, ви отримуєте 4 самоцвіти",,"+1 Til alle spillers stenbrud, du modtager 4 ædelstene"
FOUNDATIONS,Foundations,Фундамент,Фундамент,,Fundament
FOUNDATIONS_DESC,"If wall = 0, +6 wall, else +3 wall","Если стена = 0, то +5 к Стене, иначе +3 к Стене","Якщо стіна = 0, то +5 до стіни, інакше +3 до стіни",,"Hvis mur = 0, +6 mur, ellers +3 mur"
TREMORS,Tremors,Толчки,Поштовхи,,Rystelser
TREMORS_DESC,All walls take 5 damage. Play again,"Все стены получают по 5 повреждений, играем снова","Усі стіни отримують по 5 пошкоджень, граємо знову",,"Alle murer tager 5 skade, Spil igen"
SECRET_ROOM,Secret Room,Секретный зал,Таємна зала,,Hemmeligt Rum
SECRET_ROOM_DESC,"+1 Magic, Play Again","+1 Магия, Играем снова","+1 Магія, Граємо знову",,"+1 Magi, Spil Igen"
EARTHQUAKE,Earthquake,Землетрясение,Землетрус,,Jordskælv
EARTHQUAKE_DESC,-1 To all player's quarrys,-1 Карьеры всех игроков,-1 Кар'єри всіх гравців,,-1 Til alle spillers stenbrud
BIG_WALL,Big Wall,Большая стена,Велика стіна,,Stor Mur
BIG_WALL_DESC,+6 Wall,+6 к Стене,+6 до Стіни,,+6 Mur
COLLAPSE,Collapse!,Обвал!,Обвалення!,,Bryd Sammen!
COLLAPSE_DESC,-1 Enemy quarry,-1 Карьер врага,-1 Ворожий кар'єр,,-1 Modstander Stenbrud
NEW_EQUIPMENT,New Equipment,Новое оборудование,Нове устаткування,,Nyt Udstyr
NEW_EQUIPMENT_DESC,+2 Quarry,+2 Карьера,+2 Кар'єра,,+2 Stenbrud
STRIP_MINE,Strip Mine,Рудник обвалился,Розчистити шахту,,Stribe Mine
STRIP_MINE_DESC,"-1 Quarry, +10 Wall, You gain 5 gems","-1 Карьер, +10 к Стене, вы получаете 5 самоцветов","-1 Кар'єр, +10 до Стіни, Ви отримуєте 5 дорогоцінних каменів",,"-1 Stenbrud, +11 Mur, Du modtager 5 ædelstene"
REINFORCED_WALL,Reinforced Wall,Усиленная стена,Армована стіна,,Forstærket Mur
REINFORCED_WALL_DESC,+8 Wall,+8 к Стене,+ 8 до Стіни,,+8 Mur
PORTICULUS,Porticulus,Решётка,Ґрати,,Faldgitter
PORTICULUS_DESC,"+5 Wall, +1 Dungeons","+5 к Стене, +1 к Темнице","+5 до Стіни, +1 Підземелля",,"+5 Mur, +1 Hule"
CRYSTAL_ROCKS,Crystal Rocks,Кристальная жила,Кристалічні породи,,Krystal Sten
CRYSTAL_ROCKS_DESC,"+7 Wall, gain 7 gems","+7 к Стене, вы получаете 7 самоцветов","+7 до Стіни, отримати 7 дорогоцінних каменів",,"+7 Mur, modtag 7 ædelstene"
HARMONIC_ORE,Harmonic Ore,Поющая руда,Співуча руда,,Harmonisk Malm
HARMONIC_ORE_DESC,"+6 Wall, +3 Tower","+6 к Стене, +3 к Башне","+6 до Стіни, +3 Вежі",,"+6 Mur, +3 Tårn"
MONDO_WALL,Mondo Wall,Бастион,Світова стіна,,Mondo Mur
MONDO_WALL_DESC,+12 Wall,+12 к Стене,+12 до Стіни,,+12 Mur
FOCUSED_DESIGNS,Focused Designs,Новые успехи,Орієнтовані проекти,,Fokuseret Design
FOCUSED_DESIGNS_DESC,"+8 Wall, +5 Tower","+8 к Стене, +5 к Башне","+8 до Стіни, +5 Вежі",,"+8 Mur, +5 Tårn"
GREAT_WALL,Great Wall,Великая стена,Велетенська стіна,,Enorm Mur
GREAT_WALL_DESC,+15 Wall,+15 к Стене,+15 до Стіни,,+15 Mur
ROCK_LAUNCHER,Rock Launcher,Камнемёт,Камнеметатель,,Sten Slynge
ROCK_LAUNCHER_DESC,"+6 Wall, 10 Damage to enemy","+6 к Стене, 10 урона","+6 до Стіни, 10 Пошкодження ворогу",,"+6 Mur, 10 Skade til modstander"
DRAGONS_HEART,Dragon's Heart,Драконье сердце,Серце Дракона,,Drages Hjerte
DRAGONS_HEART_DESC,"+20 Wall, +8 Tower","+20 к Стене, +8 к Башне","+20 до Стіна, +8 до Вежі",,"+20 Mur, +8 Tårn"
FORCED_LABOR,Forced Labor,Каторга,Примусова праця,,Tvunget Arbejde
FORCED_LABOR_DESC,"+9 Wall, Lose 5 Recruits","+9 к Стене, вы теряете 5 зверей","+9 до Стіни, втратити 5 новобранців",,"+9 Mur, Mist 5 Rekrutter"
ROCK_GARDEN,Rock Garden,Каменный сад,Кам'яний сад,,Sten Have
ROCK_GARDEN_DESC,"+1 Wall, +1 Tower, +2 Recruits","+1 к Стене, +1 к Башне, +2 зверя","+1 Стіни, +1 Вежі, +2 Новобранця",,"+1 Mur, +1 Tårn, +2 Rekrutter"
FLOOD_WATER,Flood Water,Наводнение,Паводкова вода,,Oversvømmelse
FLOOD_WATER_DESC,Player(s) with lowest Wall are -1 Dungeon and 2 damage to Tower,Игрок с меньшей стеной получает -1 к темнице и 2 урона башне,Гравці з найнижчою стіною мають -1 підземелля і 2 до пошкодження вежі,,Spiller(e) med lavest Mur er -1 Hule og 2 skade til Tårn
BARRACKS,Barracks,Казармы,Барак,,Barakker
BARRACKS_DESC,"+6 Recruits, +6 Wall, If dungeon < enemy dungeon then +1 dungeon","+6 зверей, '+6 к Стене, если темница < вражеской, +1 темница","+6 новобранців, +6 стіни, якщо підземелля < вороже підземелля, то +1 підземе",,"+6 Rekrutter, +6 Mur, Hvis hule < modstander hule så +1 hule"
BATTLEMENTS,Battlements,Укрепления,Укріплювання,,Brystværner
BATTLEMENTS_DESC,"+7 Wall, 6 damage to enemy","+7 к Стене, 6 урона врагу","+7 до Стіни, 6 ушкодження ворожій",,"+7 Mur, 6 skade til modstander"
SHIFT,Shift,Сдвиг,Зміщення,,Skift
SHIFT_DESC,Switch your Wall with enemy Wall,Ваша и вражеская стена меняются местами,Змініть свою стіну на ворожу,,Byt din Mur med modstander Mur
QUARTZ,Quartz,Кварц,Кварц,,Kvarts
QUARTZ_DESC,"+1 Tower, Play again","+1 к Башне, Играем снова","+1 до Вежі, Граємо знову",,"+1 Tårn, Spil igen"
SMOKY_QUARTZ,Smoky Quartz,Дымчатый кварц,Димчастий кварц,,Røg Kvarts
SMOKY_QUARTZ_DESC,"1 Damage to enemy tower, Play again","1 урона Башне врага, Играем снова","1 Пошкодження ворожої вежі, Грайте знову",,"1 Skade til modstander tårn, Spil igen"
AMETHYST,Amethyst,Аметист,Аметист,,Ametyst
AMETHYST_DESC,+3 Tower,+3 к Башне,+3 до Вежі,,+3 Tårn
SPELL_WEAVERS,Spell Weavers,Ткачи заклинаний,Ткачі заклинань,,Besværgelsesvæver
SPELL_WEAVERS_DESC,+1 Magic,+1 к Магии,+1 до Магії,,+1 Magi
PRISM,Prism,Призма,Призма,,Prisme
PRISM_DESC,"Draw 1 card, Discard 1 card, Play again","Взять 1 карту, Сбросить 1 карту, Играем снова","Взяти 1 карту, Скинути 1 карту, Граємо знову",,"Træk 1 kort, Kasser 1 kort, Spil igen"
LODESTONE,Lodestone,Магнетит,Магнетит,,Ledesten
LODESTONE_DESC,"+3 Tower, This card can't be discarded without playing it","+3 к Башне, Эта карта не может быть сброшена","+3 до Вежі, Ця карта не може бути скинута",,"+3 Tårn, Dette kort kan ikke kasseres uden at blive spillet"
SOLAR_FLARE,Solar Flare,Вспышка солнца,Сонячний спалах,,Soludbrud
SOLAR_FLARE_DESC,"+2 Tower, 2 Damage to enemy tower","+2 к Башне, 2 урона башне врага","+2 до Вежі, 2 шкоди башти ворога",,"+2 Tårn, 2 Skade til modstander tårn"
CRYSTAL_MATRIX,Crystal Matrix,Матрица,Кришталева матриця,,Krystal Matrix
CRYSTAL_MATRIX_DESC,"+1 Magic, +3 Tower, +1 Enemy tower","+1 к Магии, +3 к Башне, +1 к Башне врага","+1 до Магії, +3 до Вежі, +1 до Вежі ворога",,"+1 Magi, +3 Tårn, +1 Modstander tårn"
GEMSTONE_FLAW,Gemstone Flaw,Трещина,Хиба цінного каменю,,Ædelstensfejl
GEMSTONE_FLAW_DESC,3 Damage to enemy tower,3 урона Башне врага,3 пошкодження ворожої Вежі,,3 Skade til modstander tårn
RUBY,Ruby,Рубин,Рубін,,Rubin
RUBY_DESC,+5 Tower,+5 к Башне,+5 до Вежі,,+5 Tårn
GEM_SPEAR,Gem Spear,Копье из самоцвета,Самоцвітний спис,,Ædelstensspyd
GEM_SPEAR_DESC,5 Damage to enemy tower,5 урона Башне врага,5 пошкодження ворожої Вежі,,5 Skade til modstander tårn
POWER_BURN,Power Burn,Взрыв силы,Спалювання енергії,,Magt Afbrænding
POWER_BURN_DESC,"5 Damage to your tower, +2 Magic","5 урона собственной Башне, '+2 к Магии","5 збитків власної Вежі, +2 до Магії",,"5 Skade til dit tårn, +2 Magi"
HARMONIC_VIBE,Harmonic Vibe,Гармония,Гармонія,,Harmonisk Bølge
HARMONIC_VIBE_DESC,"+1 Magic, +3 Tower, +3 Wall","+1 к Магии, +3 к Башне, +3 к Стене","+1 до Магії, +3 до Вежі, +3 до Стіни",,"+1 Magi, +3 Tårn, +3 Mur"
PARITY,Parity,Паритет,Рівність,,Paritet
PARITY_DESC,All player's magic equals the highest player's magic,Магия всех игроков становится равна магии сильнейшего,Магія всіх гравців стає рівна магії найсильнішого,,Alle spillers magi er ens med den højeste spillers magi
EMERALD,Emerald,Изумруд,Смарагд,,Smaragd
EMERALD_DESC,+8 Tower,+8 к Башне,+8 до Вежі,,+8 Tårn
PEARL_OF_WISDOM,Pearl of Wisdom,Жемчуг мудрости,Перлина мудрості,,Visdomsperle
PEARL_OF_WISDOM_DESC,"+5 Tower, +1 Magic","+5 к Башне, +1 к Магии","+5 до Вежі, +1 до Магії",,"+5 Tårn, +1 Magi"
SHATTERER,Shatterer,Разрушитель,Руйнівник,,Knuser
SHATTERER_DESC,"-1 Magic, 9 Damage to enemy tower","-1 к Магии, 9 урона Башне врага","-1 до Магії, 9 втрати Вежі ворога",,"-1 Magi, 9 Skade til modstander tårn"
CRUMBLESTONE,Crumblestone,Хрупкий камень,Крихкий камінь,,Smuldresten
CRUMBLESTONE_DESC,"+5 Tower, Enemy loses 6 bricks","+5 к Башне, враг теряет 6 кирпичей","+5 до Вежі, ворог втрачає 6 цеглин",,"+5 Tårn, Modstander mister 6 byggesten"
SAPPHIRE,Sapphire,Сапфир,Сапфір,,Safir
SAPPHIRE_DESC,+11 Tower,+11 к Башне,+11 до Вежі,,+11 Tårn
DISCORD,Discord,Раздор,Розлад,,Dissonans
DISCORD_DESC,"7 Damage to all towers, all player's magic -1","7 урона всем Башням, -1 к Магии всех игроков","7 збитків усім Вежам, -1 до Магії всіх гравців",,"7 Skade til alle tårne, alle spillers magi -1"
FIRE_RUBY,Fire Ruby,Огненный рубин,Вогненний рубін,,Ild Rubin
FIRE_RUBY_DESC,"+6 Tower, 4 Damage to all enemy towers","+6 к Башне, 4 урона Башням врагов","+6 до Вежі, 4 шкоди Вежам ворогів",,"+6 Tårn, 4 Skade til alle modstander tårne"
QUARRYS_HELP,Quarry's Help,Помощь карьера,Допомога Кар'єру,,Stenbruds Hjælp
QUARRYS_HELP_DESC,"+7 Tower, Lose 10 bricks","+7 к Башне, Вы теряете 10 кирпичей","+7 до Вежі, Ви втрачаєте 10 цегли",,"+7 Tårn, Mist 10 Byggesten"
CRYSTAL_SHIELD,Crystal Shield,Кристальный щит,Кришталевий щит,,Krystalskjold
CRYSTAL_SHIELD_DESC,"+8 Tower, +3 Wall","+8 к Башне, '+3 к Стене","+8 до Вежі, +3 до Стіни",,"+8 Tårn, +3 Mur"
EMPATHY_GEM,Empathy Gem,Самоцвет эмпатии,Самоцвіт емпатії,,Empati Ædelsten
EMPATHY_GEM_DESC,"+8 Tower, +1 Dungeon","+8 к Башне, +1 к Темнице","+8 до Вежі, +1 до В'язниці",,"+8 Tårn, +1 Hule"
DIAMOND,Diamond,Алмаз,Алмаз,,Diamant
DIAMOND_DESC,+15 Tower,+15 к Башне,+15 до Вежі,,+15 Tårn
SANCTUARY,Sanctuary,Святилище,Святиня,,Fristed
SANCTUARY_DESC,"+10 Tower, +5 Wall, Gain 5 recruits","+10 к Башне, +5 к Стене, Вы получаете пять зверей","+10 до Вежі, +5 до Стіни, Ви отримуєте п'ять звірів",,"+10 Tårn, +5 Mur, Modtag 5 rekrutter"
LAVA_JEWEL,Lava Jewel,Лавовый камень,Лавовий камінь,,Lava Juvel
LAVA_JEWEL_DESC,"+12 Tower, 6 Damage to all enemies","+12 к Башне, 6 урона всем врагам","+12 до Вежі, 6 втрат усім ворогам",,"+12 Tårn, 6 Skade til alle modstandere"
DRAGONS_EYE,Dragon's Eye,Глаз дракона,Око дракона,,Drages Øje
DRAGONS_EYE_DESC,+20 Tower,+20 к Башне,+20 до Вежі,,+20 Tårn
CRYSTALLIZE,Crystallize,Кристализация,Кристалізація,,Krystallisere
CRYSTALLIZE_DESC,"+11 Tower, -6 Wall","+11 к Башне, -6 к Стене","+11 до Вежі, -6 до Стіни",,"+11 Tårn, -6 Mur"
BAG_OF_BAUBLES,Bag of Baubles,Мешок безделушек,Мішок дрібничок,,Pose med billige Smykker
BAG_OF_BAUBLES_DESC,"If Tower < enemy Tower than +2 Tower, Else +1 Tower","Если Башня < вражеской, то +2 к Башне, Иначе +1 к Башне","Якщо Вежа < ворожою, то +2 до Вежі, Інакше +1 до Вежі",,"Hvis Tårn < modstander Tårn, +2 Tårn, ellers +1 Tårn"
RAINBOW,Rainbow,Радуга,Веселка,,Regnbue
RAINBOW_DESC,+1 Tower to all players. You gain 3 gems,"+1 ко всем Башням, Вы получаете 3 самоцвета","+1 до всіх Веж, Ви отримуєте 3 самоцвіти",,+1 Tårn til alle spillere. Du modtager 3 ædelstene
APPRENTICE,Apprentice,Ученик,Учень,,Lærling
APPRENTICE_DESC,"+4 Tower, you lose 3 recruits, 2 Damage to enemy Tower","+4 к Башне, вы теряете 3 зверя, 2 урона Башне врага","+4 до Вежі, ви втрачаєте 3 звіра, 2 шкоди Вежі ворога",,"+4 Tårn, du mister 3 rekrutter, 2 Skade til modstander tårn"
LIGHTNING_SHARD,Lightning Shard,Осколок молнии,Осколок блискавки,,Lynskår
LIGHTNING_SHARD_DESC,"If Tower > enemy Wall then 8 damage to enemy Tower, else 8 damage","Если ваша Башня > Стены врага, то 8 урона Башне врага, Иначе 8 урона","Якщо ваша Вежа > Стіни ворога, то 8 збитків Вежі ворога, Інакше 8 збитків",,"Hvis Tårn > modstander mur, 8 skade til modstander Tårn, ellers 8 skade"
PHASE_JEWEL,Phase Jewel,Фазовый самоцвет,Фазовий самоцвіт,,Fase Juvel
PHASE_JEWEL_DESC,"+13 Tower, +6 Recruits, +6 Bricks","+13 к Башне, +6 Зверей, +6 Кирпичей","+13 до Вежі, +6 Звірів, +6 Цегли",,"+13 Tårn, +6 Rekrutter, +6 Byggesten"
MAD_COW_DISEASE,Mad Cow Disease,Коровье безумие,Коров'яче божевілля,,Kogalskab
MAD_COW_DISEASE_DESC,All players lose 6 recruits.,Все игроки теряют по 6 зверей.,Усі гравці втрачають по 6 звірів.,,Alle spillere mister 6 rekrutter
FAERIE,Faerie,Фея,Фея,,Fe
FAERIE_DESC,"2 Damage, Play again","2 урона, Играем снова","2 Пошкодження, грайте знову",,"2 Skade, Spil igen"
MOODY_GOBLINS,Moody Goblins,Угрюмые гоблины,Похмурі гобліни,,Mutte Gobliner
MOODY_GOBLINS_DESC,"4 Damage, You lose 3 gems","4 урона, Вы теряете 3 самоцвета","4 шкоди, Ви втрачаєте 3 самоцвіти",,"4 Skade, Du mister 3 ædelstene"
MINOTAUR,Minotaur,Минотавр,Мінотавр,,Minotaur
MINOTAUR_DESC,+1 Dungeon,+1 к Темнице,+1 до Темниці,,+1 Hule
ELVEN_SCOUT,Elven Scout,Эльфы-Скауты,Ельфи-Скаути,,Elver Spejder
ELVEN_SCOUT_DESC,"Draw 1 card, Discard 1 card, Play again","Взять 1 карту, Сбросить 1 карту, Играем снова","Взяти 1 карту, Скинути 1 карту, Граємо знову",,"Træk 1 kort, Kasser 1 kort, Spil igen"
GOBLIN_MOB,Goblin Mob,Толпа гоблинов,Натовп гоблінів,,Goblin Hob
GOBLIN_MOB_DESC,"6 Damage, You take 3 damage","6 урона, Вы получаете 3 урона","6 шкоди, Ви отримуєте 3 шкоди",,"6 Skade, Du tage 3 skade"
GOBLIN_ARCHERS,Goblin Archers,Гоблины-Лучники,Гобліни-Лучники,,Goblin Byeskyttere
GOBLIN_ARCHERS_DESC,"3 Damage to enemy tower, You take 1 damage","3 урона Башне врага, Вы получаете 1 урон","3 шкоди вежі ворога, ви отримуєте 1 шкоди",,"3 Skade til modstander tårn, Du tager 1 skade"
SHADOW_FAERIE,Shadow Faerie,Призрачная фея,Примарна фея,,Skygge Fe
SHADOW_FAERIE_DESC,"2 Damage to enemy tower, Play again","2 урона Башне врага, Играем снова","2 утрати вежі ворога, граємо знову",,"2 Skade til modstander tårn, Spil igen"
ORC,Orc,Орк,Орк,,Ork
ORC_DESC,5 Damage,5 урона,5 шкоди,,5 Skade
DWARVES,Dwarves,Дворфы,Дворфи,,Dværge
DWARVES_DESC,"4 Damage, +3 Wall","4 урона, +3 к Стене","4 шкоди, +3 до стіни",,"4 Skade, +3 Mur"
LITTLE_SNAKES,Little Snakes,Змеёныши,Маленькі Змійки,,Små Slanger
LITTLE_SNAKES_DESC,4 Damage to enemy tower,4 урона Башне врага,4 шкоди вежі ворога,,4 Skade til modstander tårn
TROLL_TRAINER,Troll Trainer,Тренер троллей,Тренер тролей,,Troldetræner
TROLL_TRAINER_DESC,+2 Dungeon,+2 Темницы,+2 темниці,,+2 Hule
TOWER_GREMLIN,Tower Gremlin,Башня гремлинов,Вежа Гремлінів,,Tårn Gremlin
TOWER_GREMLIN_DESC,"2 Damage, +4 Wall, +2 Tower","2 урона, +4 к Стене, +2 к Башне","2 шкоди, + 4 до стіни, +2 до вежі",,"2 Skade, +4 Mur, +2 Tårn"
FULL_MOON,Full Moon,Полнолуние,Повний місяць,,Fuldmåne
FULL_MOON_DESC,"+1 to all player's Dungeon, You gain 3 recruits","+1 к Темницам всех игроков, Вы получаете 3 зверя","+1 до темниць всіх гравців, ви отримуєте 3 звіра",,"+1 til alle spillers Hule, Du modtager 3 rekrutter"
SLASHER,Slasher,Слэшер,Слешер,,Skærer
SLASHER_DESC,6 Damage,6 урона,6 шкоди,,6 Skade
OGRE,Ogre,Огр,Огр,,Ogre
OGRE_DESC,7 Damage,7 урона,7 урона,,7 Skade
RABID_SHEEP,Rabid Sheep,Бешеная оцва,Шалена вівця,,Gale Får
RABID_SHEEP_DESC,"6 Damage, Enemy loses 3 recruits","6 урона, Враг теряет 3 зверя","6 шкоди, ворог втрачає 3 звіра",,"6 Skade, Modstander mister 3 rekrutter"
IMP,Imp,Бес,Бісеня,,Imp
IMP_DESC,"6 Damage. All players lose 5 bricks, gems and recruits","6 урона, Все игроки теряют по 5 кирпичей, зверей и самоцветов","6 шкоди, всі гравці втрачають по 5 цеглин, звірів і самоцвітів",,"6 Skade. Alle spillere mister 5 byggesten, ædelstene og rekrutter"
SPIZZER,Spizzer,Жучара,Шпіцер,,Spizzer
SPIZZER_DESC,"If enemy wall = 0 then 10 damage, Else 6 damage","Если стена врага = 0, то 10 урона, Иначе 6 урона","Якщо стіна ворога = 0, то 10 шкоди, інакше 6 шкоди",,"Hvis modstander mur = 0, 10 skade, Ellers 6 skade"
WEREWOLF,Werewolf,Оборотень,Перевертень,,Varulv
WEREWOLF_DESC,9 Damage,9 урона,9 шкоди,,9 Skade
CORROSION_CLOUD,Corrosion Cloud,Едкое облако,Хмара корозії,,Korroderende Sky
CORROSION_CLOUD_DESC,"If enemy wall > 0 then 10 damage, Else 7 Damage","Если стена врага > 0, то 10 урона, Иначе 7 урона","Якщо стіна ворога > 0, то 10 шкоди, інакше 7 шкоди",,"Hvis modstander mur > 0, 10 skade, ellers 7 skade"
UNICORN,Unicorn,Единорог,Єдиноріг,,Enhjørning
UNICORN_DESC,"If magic > enemy magic then 12 Damage, Else 8 Damage","Если Магия > Магии врага, то 12 урона, Иначе 8 урона","Якщо Магія > магії ворога, то 12 шкоди, інакше 8 шкоди",,"Hvis magi > modstander magi, 12 Skade, ellers 8 Skade"
ELVEN_ARCHERS,Elven Archers,Эльфы-Лучники,Ельфійські лучники,,Elver Byeskyttere
ELVEN_ARCHERS_DESC,"If wall > enemy wall then 6 Damage to enemy Tower, Else 8 Damage","Если Стена > Стены врага, то 6 урона Башне врага, Иначе 6 урона","Якщо стіна > стіни ворога, то 6 шкоди вежі ворога, інакше 6 шкоди",,"Hvis mur > modstander mur, 6 Skade til modstander Tårn, ellers 6 Skade"
SUCCUBUS,Succubus,Суккубы,Суккуб,,Succubus
SUCCUBUS_DESC,"5 Damage to enemy tower, enemy loses 8 recruits.","5 урона Башне врага, враг теряет 8 зверей","5 шкоди вежі ворога, ворог втрачає 8 звірів",,"5 Skade til modstander tårn, modstander mister 8 rekrutter"
ROCK_STOMPERS,Rock Stompers,Камнееды,Кам'яні топтуни,,Sten Trampere
ROCK_STOMPERS_DESC,"8 Damage, -1 Enemy quarry","8 урона, -1 карьер врага","8 шкоди, -1 кар'єр ворога",,"8 Skade, -1 Modstander stenbrud"
THIEF,Thief,Вор,Крадій,,Tyv
THIEF_DESC,"Enemy loses 10 gems, 5 bricks, you gain 1/2 amt. round up","Враг теряет 10 самоцветов, 5 кирпичей, Вы получаете половину от этого","Ворог втрачає 10 самоцвітів, 5 цегли, Ви отримуєте половину від цього",,"Modstander mister 10 ædelstene, 5 byggesten, du modtager 1/2 mængde rundet op"
STONE_GIANT,Stone Giant,Каменный гигант,Кам'яний гігант,,Stor Kæmpe
STONE_GIANT_DESC,"10 Damage, +4 Wall","10 урона, +4 к Стене","10 шкоди, +4 до стіни",,"10 Skade, +4 Mur"
VAMPIRE,Vampire,Вампир,Вампір,,Vampyr
VAMPIRE_DESC,"10 Damage, Enemy loses 5 recruits, -1 enemy Dungeon","10 урона, враг теряет 5 зверей, -1 к его Темнице","10 шкоди , ворог втрачає 5 звірів, -1 до його темниці",,"10 Skade, Modstander mister 5 rekrutter, -1 modstander Hule"
DRAGON,Dragon,Дракон,Дракон,,Drage
DRAGON_DESC,"20 Damage, Enemy loses 10 gems, -1 enemy Dungeon","20 урона, враг теряет 10 самоцветов, -1 к его Темнице","20 шкоди , ворог втрачає 10 звірів, -1 до його темниці",,"20 Skade, Modstander mister 10 ædelstene, -1 modstander hule"
SPEARMAN,Spearman,Копейщик,Списоносець,,Spydmand
SPEARMAN_DESC,"If wall > enemy Wall do 3 Damage, Else do 2 Damage","Если Стена > Стены врага, то 3 урона, Иначе 2 урона","Якщо стіна > стіни ворога, то 3 шкоди, інакше 2 шкоди",,"Hvis mur > modstander mur, gør 3 Skade, ellers gør 2 Skade"
GNOME,Gnome,Гном,Гном,,Gnom
GNOME_DESC,"3 Damage, +1 Gem","3 урона, +1 самоцвет","3 шкоди, +1 самоцвіт",,"3 Skade, +1 Ædelsten"
BERSERKER,Berserker,Берсеркер,Берсерк,,Berserker
BERSERKER_DESC,"8 Damage, 3 Damage to your Tower","8 урона, 3 урона вашей Башне","8 шкоди, 3 шкоди вашій вежі",,"8 Skade, 3 Skade til dit Tårn"
WARLORD,Warlord,Военачальник,Воєначальник,,Krigsherre
WARLORD_DESC,"13 Damage, You lose 3 gems","13 урона, Вы теряете 3 самоцвета","13 шкоди, ви втрачаєте 3 самоцвіту",,"13 Skade, Du mister 3 Ædelstene"
PEGASUS_LANCER,Pegasus Lancer,Наездник на пегасе,Наїзник на пегасі,,Pegasus Lansener
PEGASUS_LANCER_DESC,12 Damage to enemy tower,12 урона Башне врага,12 шкоди вежі ворога,,12 Skade til modstander tårn
